product_id,name,category,price_cents,created_at,updated_at,is_deleted,_etl_loaded_at
101,Wireless Mouse,electronics,2999,2023-01-10 08:00:00,2024-01-15 10:00:00,false,2024-06-01 06:00:00
102,USB-C Hub,electronics,4999,2023-02-05 09:30:00,2024-02-20 11:00:00,false,2024-06-01 06:00:00
103,Mechanical Keyboard,electronics,8999,2023-03-12 14:00:00,2024-03-01 08:30:00,false,2024-06-01 06:00:00
104,Laptop Stand,accessories,3499,2023-04-01 10:00:00,2023-12-10 15:00:00,false,2024-06-01 06:00:00
105,Webcam HD,electronics,5999,2023-05-20 11:00:00,2024-01-30 09:45:00,false,2024-06-01 06:00:00
106,Desk Lamp,lifestyle,2499,2023-06-15 13:00:00,2023-11-05 14:30:00,false,2024-06-01 06:00:00
107,Monitor Arm,accessories,7999,2023-07-08 08:00:00,2024-04-15 10:00:00,false,2024-06-01 06:00:00
108,Noise Cancelling Headphones,electronics,14999,2023-08-22 15:30:00,2024-02-10 12:00:00,false,2024-06-01 06:00:00
109,Portable Charger,electronics,1999,2023-09-10 07:00:00,2024-03-25 08:00:00,false,2024-06-01 06:00:00
110,Ergonomic Chair,lifestyle,-5000,2023-10-01 12:00:00,2024-01-20 16:00:00,false,2024-06-01 06:00:00
111,Cable Organizer,accessories,999,2023-11-18 09:00:00,2023-12-30 11:00:00,false,2024-06-01 06:00:00
112,Smart Speaker,electronics,6999,2024-01-05 10:30:00,2024-04-05 13:15:00,false,2024-06-01 06:00:00
113,Yoga Mat,lifestyle,2999,2024-02-10 08:00:00,2024-03-15 09:00:00,true,2024-06-01 06:00:00
114,Water Bottle,lifestyle,1499,2024-03-01 14:00:00,2024-04-20 10:30:00,false,2024-06-01 06:00:00
115,Bluetooth Tracker,electronics,3499,2024-04-12 11:00:00,2024-05-01 08:00:00,false,2024-06-01 06:00:00
